city,date_count,postal_code,room,price
Helsinki ,4,730,2,2955
Helsinki ,4,770,3,1757
Helsinki ,4,790,3,3503
Helsinki ,4,800,2,3374
Helsinki ,4,800,3,3143
Helsinki ,4,810,3,3784
Helsinki ,4,820,3,2396
Helsinki ,4,840,3,2752
Helsinki ,4,900,3,2112
Helsinki ,4,910,1,3352
Helsinki ,4,910,2,2565
Helsinki ,4,910,3,2518
Helsinki ,4,920,2,2226
Helsinki ,4,920,3,2007
Helsinki ,4,930,2,2685
Helsinki ,4,940,1,3228
Helsinki ,4,940,2,2288
Helsinki ,4,940,3,2043
Helsinki ,4,960,2,2522
Helsinki ,4,970,2,2489
Helsinki ,4,970,3,2299
Helsinki ,4,980,3,2382
Helsinki ,4,990,2,4160
Helsinki ,4,990,3,3766
Vantaa ,4,1200,1,2561
Vantaa ,4,1200,2,2073
Vantaa ,4,1200,3,1884
Vantaa ,4,1280,1,2611
Vantaa ,4,1300,1,3371
Vantaa ,4,1300,2,2612
Vantaa ,4,1300,3,2601
Vantaa ,4,1350,3,2041
Vantaa ,4,1360,3,1809
Vantaa ,4,1450,3,1927
Vantaa ,4,1480,2,2047
Vantaa ,4,1480,3,1949
Vantaa ,4,1510,2,3462
Vantaa ,4,1520,2,3471
Vantaa ,4,1520,3,3228
Vantaa ,4,1600,2,2322
Vantaa ,4,1600,3,2239
Vantaa ,4,1610,2,2484
Vantaa ,4,1620,2,2211
Vantaa ,4,1620,3,1887
Vantaa ,4,1650,1,2817
Vantaa ,4,1650,2,2062
Vantaa ,4,1710,2,2484
Vantaa ,4,1710,3,2179
Espoo ,4,2100,1,3768
Espoo ,4,2100,3,3215
Espoo ,4,2120,3,3316
Espoo ,4,2130,3,3281
Espoo ,4,2170,2,3505
Espoo ,4,2200,3,3501
Espoo ,4,2210,1,3500
Espoo ,4,2210,2,2659
Espoo ,4,2210,3,2590
Espoo ,4,2230,1,3502
Espoo ,4,2230,2,3304
Espoo ,4,2230,3,2779
Espoo ,4,2260,2,2318
Espoo ,4,2320,1,2981
Espoo ,4,2320,2,2937
Espoo ,4,2320,3,2714
Espoo ,4,2330,3,3666
Espoo ,4,2360,1,3023
Espoo ,4,2360,2,2150
Espoo ,4,2360,3,2042
Espoo ,4,2600,3,2894
Espoo ,4,2620,2,2572
Espoo ,4,2620,3,2158
Espoo ,4,2650,2,3075
Espoo ,4,2650,3,2781
Kauniainen ,4,2700,3,3217
Espoo ,4,2710,3,2256
Espoo ,4,2760,1,2678
Espoo ,4,2760,2,2549
Espoo ,4,2760,3,2392
Helsinki ,5,100,1,5545
Helsinki ,5,100,2,5713
Helsinki ,5,100,3,5571
Helsinki ,5,120,1,5905
Helsinki ,5,120,2,5528
Helsinki ,5,120,3,5691
Helsinki ,5,140,1,6277
Helsinki ,5,140,2,5890
Helsinki ,5,140,3,6734
Helsinki ,5,150,1,5587
Helsinki ,5,150,2,5593
Helsinki ,5,150,3,6275
Helsinki ,5,170,1,5886
Helsinki ,5,170,2,5723
Helsinki ,5,170,3,5444
Helsinki ,5,180,1,6108
Helsinki ,5,180,2,5295
Helsinki ,5,180,3,4677
Helsinki ,5,200,2,4324
Helsinki ,5,200,3,4343
Helsinki ,5,210,3,4677
Helsinki ,5,250,1,5108
Helsinki ,5,250,2,4979
Helsinki ,5,250,3,4501
Helsinki ,5,260,1,5408
Helsinki ,5,260,2,5248
Helsinki ,5,260,3,5195
Helsinki ,5,270,1,5267
Helsinki ,5,270,2,4556
Helsinki ,5,270,3,4330
Helsinki ,5,280,2,4371
Helsinki ,5,280,3,4120
Helsinki ,5,320,1,4200
Helsinki ,5,320,2,3573
Helsinki ,5,320,3,3549
Helsinki ,5,330,3,4304
Helsinki ,5,350,1,4006
Helsinki ,5,350,2,3495
Helsinki ,5,350,3,3504
Helsinki ,5,360,2,3155
Helsinki ,5,370,2,3151
Helsinki ,5,370,3,2699
Helsinki ,5,380,3,3849
Helsinki ,5,390,2,2711
Helsinki ,5,390,3,2510
Helsinki ,5,400,1,3919
Helsinki ,5,400,2,3136
Helsinki ,5,400,3,2933
Helsinki ,5,410,2,2533
Helsinki ,5,420,2,2565
Helsinki ,5,420,3,2315
Helsinki ,5,440,3,3151
Helsinki ,5,500,1,4548
Helsinki ,5,500,2,4032
Helsinki ,5,500,3,4088
Helsinki ,5,510,2,4149
Helsinki ,5,520,1,4598
Helsinki ,5,520,2,3437
Helsinki ,5,520,3,3282
Helsinki ,5,530,1,4594
Helsinki ,5,530,2,4358
Helsinki ,5,530,3,4323
Helsinki ,5,550,1,4024
Helsinki ,5,550,2,3708
Helsinki ,5,550,3,3680
Helsinki ,5,560,3,4513
Helsinki ,5,570,2,3651
Helsinki ,5,570,3,3955
Helsinki ,5,610,3,3912
Helsinki ,5,620,2,2923
Helsinki ,5,630,2,2777
Helsinki ,5,640,2,2989
Helsinki ,5,640,3,2966
Helsinki ,5,700,2,2763
Helsinki ,5,700,3,2710
Helsinki ,5,710,2,2331
Helsinki ,5,710,3,2322
Helsinki ,5,720,3,2627
Helsinki ,5,730,1,3493
Helsinki ,5,730,2,3023
Helsinki ,5,730,3,2663
Helsinki ,5,740,2,2309
Helsinki ,5,740,3,2330
Helsinki ,5,790,2,3792
Helsinki ,5,800,2,3057
Helsinki ,5,800,3,3182
Helsinki ,5,810,3,3234
Helsinki ,5,820,1,3248
Helsinki ,5,820,2,2681
Helsinki ,5,820,3,2630
Helsinki ,5,840,1,3478
Helsinki ,5,840,2,2909
Helsinki ,5,840,3,3080
Helsinki ,5,900,2,2431
Helsinki ,5,910,2,2883
Helsinki ,5,920,3,2041
Helsinki ,5,930,3,2375
Helsinki ,5,940,3,2138
Helsinki ,5,960,2,2299
Helsinki ,5,960,3,2183
Helsinki ,5,970,3,2141
Helsinki ,5,980,3,2670
Helsinki ,5,990,2,3844
Helsinki ,5,990,3,3993
Vantaa ,5,1200,1,2580
Vantaa ,5,1200,2,2240
Vantaa ,5,1200,3,1851
Vantaa ,5,1280,1,2672
Vantaa ,5,1280,2,2157
Vantaa ,5,1280,3,1848
Vantaa ,5,1300,1,3607
Vantaa ,5,1300,2,2692
Vantaa ,5,1300,3,2464
Vantaa ,5,1350,3,1869
Vantaa ,5,1360,2,2008
Vantaa ,5,1360,3,1847
Vantaa ,5,1450,3,1970
Vantaa ,5,1480,3,1688
Vantaa ,5,1510,3,3066
Vantaa ,5,1600,2,2481
Vantaa ,5,1600,3,2218
Vantaa ,5,1610,2,2724
Vantaa ,5,1610,3,2467
Vantaa ,5,1620,3,1975
Vantaa ,5,1650,2,2009
Vantaa ,5,1650,3,1839
Vantaa ,5,1710,2,2348
Vantaa ,5,1710,3,2235
Espoo ,5,2100,2,3407
Espoo ,5,2100,3,3740
Espoo ,5,2110,3,3725
Espoo ,5,2120,2,3292
Espoo ,5,2120,3,3476
Espoo ,5,2130,3,3515
Espoo ,5,2170,2,3541
Espoo ,5,2200,3,3125
Espoo ,5,2210,3,2596
Espoo ,5,2230,3,2742
Espoo ,5,2260,3,2146
Espoo ,5,2320,1,3015
Espoo ,5,2320,2,2837
Espoo ,5,2320,3,2365
Espoo ,5,2360,2,2374
Espoo ,5,2360,3,1961
Espoo ,5,2600,2,3810
Espoo ,5,2600,3,3247
Espoo ,5,2620,3,2070
Espoo ,5,2650,2,3196
Espoo ,5,2650,3,2985
Kauniainen ,5,2700,3,3836
Espoo ,5,2710,3,2197
Espoo ,5,2750,3,3449
Espoo ,5,2760,1,2486
Espoo ,5,2760,2,2856
Espoo ,5,2760,3,2462
Helsinki ,6,100,1,5812
Helsinki ,6,100,2,5866
Helsinki ,6,100,3,5709
Helsinki ,6,120,1,6332
Helsinki ,6,120,2,5523
Helsinki ,6,120,3,5571
Helsinki ,6,140,1,6327
Helsinki ,6,140,2,6361
