Quarter,Postal code,Building type,Price per square meter (EUR/m2)
2010Q1,01620 Martinlaakso   (Vantaa ),"Blocks of flats, three-room flat+",1938
2010Q1,01630 Hämeenkylä   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01630 Hämeenkylä   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01630 Hämeenkylä   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01640 Hämevaara   (Vantaa ),"Blocks of flats, one-room flat",..
2010Q1,01640 Hämevaara   (Vantaa ),"Blocks of flats, two-room flat",..
2010Q1,01640 Hämevaara   (Vantaa ),"Blocks of flats, three-room flat+",..
2010Q1,01650 Vapaala   (Vantaa ),"Blocks of flats, one-room flat",2494
2010Q1,01650 Vapaala   (Vantaa ),"Blocks of flats, two-room flat",2003
2010Q1,01650 Vapaala   (Vantaa ),"Blocks of flats, three-room flat+",..
